competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,1,10,Marco Brandenberger,Less,Border Collie,CHE,0.0,0.0,0.0,0.0,38.49,5.72,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,2,19,Daniel Schröder,Drive,Border Collie,DEU,0.0,0.0,0.0,0.0,38.95,5.65,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,3,1,Ariane Wieber,Zola,Border Collie,NOR,0.0,0.0,0.0,0.0,39.17,5.62,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,4,16,Silvan Zumthurm,Tease,Border Collie,CHE,0.0,0.0,0.0,0.0,39.21,5.61,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,5,26,Jonathan Guillem,City,Border Colie,ESP,0.0,0.0,0.0,0.0,39.52,5.57,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,6,32,Tobias Wüst,Ceed,Border Collie,DEU,0.0,0.0,0.0,0.0,39.7,5.54,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,7,23,Nicola Giraudi,Katniss,Border Collie,ITA,0.0,0.0,0.0,0.0,39.91,5.51,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,8,14,Yannic Hägele,Sweep,Border Collie,DEU,0.0,0.0,0.0,0.0,39.97,5.5,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,9,31,Stefanie Groitl,Deep,Border Collie,DEU,0.0,0.0,0.0,0.0,40.09,5.49,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,10,30,Veronica Odone,Suki,Border Collie,ITA,0.0,0.0,0.0,0.0,40.19,5.47,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,11,38,Teresa Berndt,Koda,Border Collie,DEU,0.0,0.0,0.0,0.0,41.14,5.35,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,12,33,Noreen Beer,Viper,Border Collie,CHE,0.0,0.0,0.0,0.0,41.39,5.32,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,13,21,Ernst Patrick,Fellow,Of Noble County,CHE,0.0,0.0,0.0,0.0,41.41,5.31,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,14,39,Marlon Boogk,Sniper son,Border Collie,FRA,1.0,0.0,0.0,5.0,39.53,5.57,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,15,34,Yannic Hägele,Kiez,Border Collie,DEU,1.0,0.0,0.0,5.0,40.23,5.47,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,16,13,Yannick Boutellier,Taff,Border Collie,CHE,1.0,0.0,0.0,5.0,40.84,5.39,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,17,9,Gianluca Schingaro,Moss,Border Collie,ITA,2.0,0.0,,,38.64,5.69,False,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,11,Claudia Schwab,Sia,Border Collie,CHE,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,12,Lisa Germann,Lilli,Border Collie,DEU,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,15,Tobias Wüst,Life,Border Collie,DEU,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,17,Massimo Tallarico,Neil,Border Collie,ITA,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,18,Christian Prinz,Coon,Border Collie,DEU,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,2,Eiffes Andy,Bee,Border Collie,LUX,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,22,Marina Zampieri,Deep,Border Collie,ITA,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,24,Evelyne Von Riedmatten,Jacket,Border Collie,CHE,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,25,Karen Briffoz,Odil,Border Collie,BEL,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,27,Petra Häusermann,Carrie,BC,CHE,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,28,Sébastien Venat,Tekoa,Border Collie,FRA,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,29,Masanori Kaitoda,DEEP,Border Collie,JPN,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,3,Piontek Christine,Lele,Border Collie,CHE,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,35,Hans Haenny,Light,Border Collie,CHE,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,36,PIETRO TEMPINI,ALOHOMOR,Border Collie,ITA,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,37,Lena Nikou,Anima,Border Collie,AUT,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,4,Patrick Martin,Grace,Border Collie,CHE,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,40,Alenka Skrabec,Richi,Border Colli,SVN,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,5,Christiane Fischbach,Salt,Border Collie,DEU,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,7,Iwona Golab,SeeYa,BC,POL,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_1,Large,Final,False,,8,Allerme Sebastien,Shy'm,Border Collie,FRA,,,,,,,True,Neil Ellis,51.0,88.0,220.0
Helvetic Agility Masters 2025,ind_final_large_2,Large,Final,False,1,19,Emily Abrahams,Journey,Border Collie,AUS,0.0,0.0,0.0,0.0,34.44,5.95,False,Elpida Ismael,49.0,99.0,205.0
Helvetic Agility Masters 2025,ind_final_large_2,Large,Final,False,2,16,Tamas Traj,Nuri,Border Collie,HUN,0.0,0.0,0.0,0.0,35.55,5.77,False,Elpida Ismael,49.0,99.0,205.0
Helvetic Agility Masters 2025,ind_final_large_2,Large,Final,False,3,21,Martina Mercinelli,Benji,Cross Breed,ITA,0.0,0.0,0.0,0.0,37.6,5.45,False,Elpida Ismael,49.0,99.0,205.0
Helvetic Agility Masters 2025,ind_final_large_2,Large,Final,False,4,4,Martin Eberle,Tallulah,Border Collie,CHE,1.0,0.0,0.0,5.0,34.62,5.92,False,Elpida Ismael,49.0,99.0,205.0
Helvetic Agility Masters 2025,ind_final_large_2,Large,Final,False,5,10,Anastasiia Kartashova,Burrito,Border Collie,UKR,1.0,0.0,0.0,5.0,34.97,5.86,False,Elpida Ismael,49.0,99.0,205.0
Helvetic Agility Masters 2025,ind_final_large_2,Large,Final,False,6,1,Christine Tschech,Lumi,Border Collie,USA,1.0,0.0,0.0,5.0,35.32,5.8,False,Elpida Ismael,49.0,99.0,205.0
Helvetic Agility Masters 2025,ind_final_large_2,Large,Final,False,7,15,Jonathan Collard,Wild Wild,Border Collie,FRA,0.0,1.0,0.0,5.0,35.62,5.76,False,Elpida Ismael,49.0,99.0,205.0
Helvetic Agility Masters 2025,ind_final_large_2,Large,Final,False,8,17,Nana Gorjup,Rio,Border Collie,SVN,1.0,0.0,0.0,5.0,36.11,5.68,False,Elpida Ismael,49.0,99.0,205.0
