competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Lord of the Winter I. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,1,505,Anna Eifert,Holman’s Minden (Törpilla),,HUN,0,2,,10,38.92,3.96,False,Yujiro Kawabata (JP),51.0,62.0,154.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,502,Bernadett Ádám-Bökényi,Rainbow of the Sporty Heroes (Bow),,HUN,0,0,,100,0.0,,True,Yujiro Kawabata (JP),51.0,62.0,154.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,503,Dorottya Híves,Demona (None),,HUN,2,0,,100,0.0,,True,Yujiro Kawabata (JP),51.0,62.0,154.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,1,535,Jens Heitmann,shadow of aire brigth cliff (Cliff),,AUT,0,0,,0,42.67,5.74,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,2,558,Kateřina Mrázková,Gwaii Haida Thiwahe (Gwaii),,CZE,0,0,,0,43.16,5.68,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,3,543,Alena Hudcová,Cirić (Cirić),,,0,0,,0,45.76,5.35,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,4,556,Manuela Grubelnig,Düwelkes van de Barge Calypso (Kiwi),,AUT,0,0,,0,47.32,5.18,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,5,524,Adam Ščibrány,Velox Crur Dia (Nala),,SVK,0,0,,0,52.54,4.66,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,6,551,Kevin Spevan,LUST FOR LOVE the thrill of the Rush (gia),,SVN,0,1,,5,44.7,5.48,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,7,526,Christina Paulik,Happy Sigrid Petit Jerloust of my Queen (Happy),,,0,1,,5,45.84,5.34,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,8,542,Helmut Paulik,Gchiquita Banana of Austrian Diamonds (Nana),,,0,1,,5,46.11,5.31,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,9,549,Zita Jelinek,Cherusker do it with pace (Helly),,AUT,1,0,,5,50.2,4.88,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,10,517,Bożena Ludwig,Na Przyklad Samba (Samba),,POL,0,1,,5,54.45,4.5,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,11,516,Veronika Ščibrányová,Princess Isabell Mansaby (Izy),,SVK,1,0,,5,58.48,4.19,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,12,515,Dominika Visher,Rus Dendi Lot Native Soul Redjina (Red),,,1,1,,10,47.86,5.12,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,13,510,Ivan Lukášik,Candy Flow Casa Drive (Flowee),,SVK,2,2,,20,58.72,4.17,False,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,505,Anna Eifert,Holman’s Minden (Törpilla),,HUN,1,0,,100,0.0,,True,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,509,Ondřej Kukla,Maya Toalmark (Tou),,,0,3,,100,0.0,,True,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,519,Primož Petrovič Vernikov,Shadow of Aire Semper Fidelis (Mint),,SVN,1,0,,100,0.0,,True,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,525,Zsófia Tálasi,Dynamic Drive Dynamic (Dina (Pupu)),,HUN,0,0,,100,0.0,,True,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,530,Katharina Gruber,Nasgul Border‘s Grace (Wii),,AUT,1,0,,100,0.0,,True,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,539,Gerda Zemaityte,Sabshai A'lee (Lee),,,0,0,,100,0.0,,True,Laura Grosser (DE),62.0,97.0,245.0
Lord of the Winter I. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,540,Bernadett Ádám-Bökényi,Bellamie aus dem Bergischen (Mí),,HUN,1,3,,100,0.0,,True,Laura Grosser (DE),62.0,97.0,245.0
