competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Lord of the Winter II. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,501,Matej Vyskoč,Persefone of Quick Angel (Hatii),,SVK,0,1,,100,0.0,,True,Elpida Ismael (GR),50.0,85.0,172.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,502,Elżbieta Kałaska-Terejko,Kela Energizer (Amber),,,0,1,,100,0.0,,True,Elpida Ismael (GR),50.0,85.0,172.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,503,Aleksandra Gronek,Stylish Chita Queen of Spades (Chita),,POL,2,2,,100,0.0,,True,Elpida Ismael (GR),50.0,85.0,172.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,504,Anna Eifert,Holman’s Minden (Törpilla),,HUN,1,0,,100,0.0,,True,Elpida Ismael (GR),50.0,85.0,172.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,506,Ondřej Kukla,Maya Toalmark (Tou),,,1,0,,100,0.0,,True,Elpida Ismael (GR),50.0,85.0,172.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,507,Dorottya Híves,Demona (None),,HUN,0,0,,100,0.0,,True,Elpida Ismael (GR),50.0,85.0,172.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,1,505,Petra Barborová,Cruella de Vil Gold'N Rebeits (Abraka),,SVK,0,1,,5,32.0,5.31,False,Roman Lukáč (SK),48.0,78.0,170.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,2,501,Matej Vyskoč,Persefone of Quick Angel (Hatii),,SVK,2,1,,15,0.0,,False,Roman Lukáč (SK),48.0,78.0,170.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,502,Elżbieta Kałaska-Terejko,Kela Energizer (Amber),,,2,0,,100,0.0,,True,Roman Lukáč (SK),48.0,78.0,170.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,503,Aleksandra Gronek,Stylish Chita Queen of Spades (Chita),,POL,0,1,,100,0.0,,True,Roman Lukáč (SK),48.0,78.0,170.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,504,Anna Eifert,Holman’s Minden (Törpilla),,HUN,1,2,,100,0.0,,True,Roman Lukáč (SK),48.0,78.0,170.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,506,Ondřej Kukla,Maya Toalmark (Tou),,,1,0,,100,0.0,,True,Roman Lukáč (SK),48.0,78.0,170.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,507,Dorottya Híves,Demona (None),,HUN,0,1,,100,0.0,,True,Roman Lukáč (SK),48.0,78.0,170.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,508,Nina Gregl,Mawlch Ursa (Ursa),,HRV,1,0,,100,0.0,,True,Roman Lukáč (SK),48.0,78.0,170.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,,510,Veronika Ščibrányová,Princess Isabell Mansaby (Izy),,SVK,0,0,,100,0.0,,True,Roman Lukáč (SK),56.0,90.0,212.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,,511,Michala Tomić,Velox Crur Ferrari (Ferrari),,SRB,0,0,,100,0.0,,True,Roman Lukáč (SK),56.0,90.0,212.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,,512,Anna Kurucz,Koci Lagotto Truffle Hunter Bella (Maya),,HUN,0,0,,100,0.0,,True,Roman Lukáč (SK),56.0,90.0,212.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,,513,Dana Konôpková,Explosive Pistachio From Astro Team (Chio),,CZE,0,0,,100,0.0,,True,Roman Lukáč (SK),56.0,90.0,212.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,,516,Tjaša Tišler,Shadow of Aire Bellatrix (Brownie),,SVN,1,0,,100,0.0,,True,Roman Lukáč (SK),56.0,90.0,212.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,1,525,Iwona Golab,NNL Sayonara (SeeYa),,POL,0,0,,0,38.17,6.34,False,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,2,539,Gerda Zemaityte,Sabshai A'lee (Lee),,,0,0,,0,39.71,6.09,False,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,3,548,Dana Mixová,Valerie Shadow of Aire (Valerie),,CZE,0,0,,0,40.55,5.97,False,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,4,531,Honóra Buzássy,Grisa Angels of Baranya (Kiwi),,HUN,1,0,,5,54.06,4.48,False,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,5,523,Monika Marciniak,Catch Me Big Ride (Dusk),,POL,1,1,,10,47.3,5.12,False,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,6,517,Marco Gschaider,Ruff'n'Tuff Dancing in the Dark (Deep),,AUT,1,1,,10,48.09,5.03,False,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,7,522,Adam Ščibrány,Velox Crur Dia (Nala),,SVK,1,2,,15,50.11,4.83,False,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,8,519,Zsolt Havasi,Bodza (Bodza),,HUN,2,2,,20,45.06,5.37,False,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,515,Martina Krajnc,SOLARWES FR SUPERBRAVE SIJONA (Sijona),,SVN,1,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,518,Anabella Kokalj,Le quadrupede Loyal YixPryma (Pryma),,SVN,0,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,520,Magdalena Ziolkowska,Muku (Muku),,POL,2,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,521,Natalia Svobodova,A3CH Bellina Bayo of KY's Spirit (Belli),,SVK,0,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,529,Lucia Benediková,Onegin (Oňo),,SVK,0,2,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,532,molas coll erika,Beep'ma Douce Petite Vie (Milo),,HUN,3,1,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,534,Rasa Vaščilienė,Misty Highland Just Zippy (Zippy),,,0,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,535,Elena Jarošová,Galaxy od Skučáku (Galaxy),,SVK,0,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,536,Zsófia Tálasi,Dynamic Drive Dynamic (Dina (Pupu)),,HUN,0,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,537,Jens Heitmann,shadow of aire brigth cliff (Cliff),,AUT,0,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,540,Stephan Assem,Mi Sombra Pitaya Petit (Polly),,AUT,1,2,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,541,kühn pascale,Merci of Austrian Starlight (Merci of Austrian Starlight),,AUT,0,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,542,Ivana Ondrušová,Cix Acecard (Cix),,CZE,2,1,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,543,Rebecca Potosky,Fairfarren Meant To Be (Fate),,,0,1,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,544,Eva Filípková,Velox Crur Famosa Nella (Nella),,SVK,0,1,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,545,Aleksandra Gronek,Seven Seas I.-C Raven Kind of Cosmo (Cosmo),,POL,1,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,546,Peter Neumann,Dark Side Legion Bahiya Leia (Leia),,SVK,0,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,547,Adéla Havlíčková,Nilsa Petit Jerloust of My Queen (Nisa),,CZE,0,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,550,Petra Matušíková,Zatsu (None),,SVK,0,0,,100,0.0,,True,Roman Lukáč (SK),61.0,97.0,242.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_4,Intermediate,Agility,False,1,539,Gerda Zemaityte,Sabshai A'lee (Lee),,,0,0,,0,37.83,5.6,False,Jordi Boix Baró (ES),53.0,92.0,212.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_4,Intermediate,Agility,False,2,526,Helmut Paulik,Gchiquita Banana of Austrian Diamonds (Nana),,,0,0,,0,38.37,5.53,False,Jordi Boix Baró (ES),53.0,92.0,212.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_4,Intermediate,Agility,False,3,528,Christina Paulik,Happy Sigrid Petit Jerloust of my Queen (Happy),,AUT,0,1,,5,45.65,4.64,False,Jordi Boix Baró (ES),53.0,92.0,212.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_4,Intermediate,Agility,False,4,510,Veronika Ščibrányová,Princess Isabell Mansaby (Izy),,SVK,1,0,,5,47.6,4.45,False,Jordi Boix Baró (ES),53.0,92.0,212.0
Lord of the Winter II. 2025/2026,ind_agility_intermediate_4,Intermediate,Agility,False,5,522,Adam Ščibrány,Velox Crur Dia (Nala),,SVK,2,0,,10,48.54,4.37,False,Jordi Boix Baró (ES),53.0,92.0,212.0
