competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Lord of the Winter III. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,1,508,Matej Vyskoč,Persefone of Quick Angel (Hatii),,SVK,1,0,,5,32.44,5.86,False,Anna Schoenenberger (CH),53.0,79.5,190.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,2,507,Yael Hazan,Sharp Light Sagacity (Muse),,,0,1,,5,36.62,5.19,False,Anna Schoenenberger (CH),53.0,79.5,190.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,3,506,Jana Zvonková,Cava Verline (Kofi),,CZE,2,1,,15,35.89,5.29,False,Anna Schoenenberger (CH),53.0,79.5,190.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,501,Aleksandra Gronek,Stylish Chita Queen of Spades (Chita),,POL,0,0,,100,0.0,,True,Anna Schoenenberger (CH),53.0,79.5,190.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,502,Dorottya Híves,Demona (None),,HUN,3,1,,100,0.0,,True,Anna Schoenenberger (CH),53.0,79.5,190.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,504,Anna Eifert,Holman’s Minden (Törpilla),,HUN,1,1,,100,0.0,,True,Anna Schoenenberger (CH),53.0,79.5,190.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_1,Intermediate,Agility,False,,565,Soňa Gillányiová,Cassian von der Spinnenburg (Cassi),,SVK,1,0,,100,0.0,,True,Anna Schoenenberger (CH),53.0,79.5,190.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,1,505,Petra Barborová,Cruella de Vil Gold'N Rebeits (Abraka),,SVK,0,0,,0,29.03,5.75,False,Juraj Ruža (SK),47.0,80.0,167.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,2,501,Aleksandra Gronek,Stylish Chita Queen of Spades (Chita),,POL,1,0,,5,33.28,5.02,False,Juraj Ruža (SK),47.0,80.0,167.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,502,Dorottya Híves,Demona (None),,HUN,2,0,,100,0.0,,True,Juraj Ruža (SK),47.0,80.0,167.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,503,René Blank,Padme of Austrian Starlight (Padme),,DEU,0,1,,100,0.0,,True,Juraj Ruža (SK),47.0,80.0,167.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,504,Anna Eifert,Holman’s Minden (Törpilla),,HUN,0,0,,100,0.0,,True,Juraj Ruža (SK),47.0,80.0,167.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,506,Jana Zvonková,Cava Verline (Kofi),,CZE,0,0,,100,0.0,,True,Juraj Ruža (SK),47.0,80.0,167.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,507,Yael Hazan,Sharp Light Sagacity (Muse),,,1,0,,100,0.0,,True,Juraj Ruža (SK),47.0,80.0,167.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,509,Angelika Heitmann,Black Noble Boosted Steam (Steam),,AUT,0,0,,100,0.0,,True,Juraj Ruža (SK),47.0,80.0,167.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_10,Intermediate,Agility,False,,565,Soňa Gillányiová,Cassian von der Spinnenburg (Cassi),,SVK,0,0,,100,0.0,,True,Juraj Ruža (SK),47.0,80.0,167.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,1,518,Andrea Csiszár,Lucky For You Choco Dream (Bodza),,,2,0,,10,39.88,5.19,False,Juraj Ruža (SK),54.0,90.0,207.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,2,515,Veronika Ščibrányová,Princess Isabell Mansaby (Izy),,SVK,2,0,,10,45.32,4.57,False,Juraj Ruža (SK),54.0,90.0,207.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,3,517,Ivan Lukášik,Candy Flow Casa Drive (Flowee),,SVK,4,2,,30,46.37,4.46,False,Juraj Ruža (SK),54.0,90.0,207.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,,510,Jana Dabrowska,Taka Fulla Alchera (Fulla),,POL,2,0,,100,0.0,,True,Juraj Ruža (SK),54.0,90.0,207.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,,512,Eva Lasáková,Banshee Happy Firefly (Bella),,,0,0,,100,0.0,,True,Juraj Ruža (SK),54.0,90.0,207.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,,513,Nikol Juhász,Lucky for you “Violet” (Violet),,,0,0,,100,0.0,,True,Juraj Ruža (SK),54.0,90.0,207.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,,514,Anna Kurucz,Koci Lagotto Truffle Hunter Bella (Maya),,HUN,0,0,,100,0.0,,True,Juraj Ruža (SK),54.0,90.0,207.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,,519,Dana Konôpková,Explosive Pistachio From Astro Team (Chio),,CZE,2,0,,100,0.0,,True,Juraj Ruža (SK),54.0,90.0,207.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_2,Intermediate,Agility,False,,520,Michal Krejčí,X’Bagheera Never Never Land (Keiko),,CZE,0,0,,100,0.0,,True,Juraj Ruža (SK),54.0,90.0,207.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,1,546,Dana Mixová,Valerie Shadow of Aire (Valerie),,CZE,0,0,,0,40.4,6.14,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,2,555,Andy Eiffes,Bee My Baby Gold'n Rebeits (Bee),,LUX,0,0,,0,43.18,5.74,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,3,532,Lucie Růžičková,Brilley z Denveru (Brill),,CZE,0,0,,0,44.19,5.61,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,4,529,Adam Ščibrány,Velox Crur Dia (Nala),,SVK,0,0,,0,49.28,5.03,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,5,564,Adéla Hasalová,Casey (Casey),,,0,0,,0,49.39,5.02,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,6,526,Marco Gschaider,Ruff'n'Tuff Dancing in the Dark (Deep),,AUT,1,0,,5,42.46,5.84,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,7,558,Aleksandra Gronek,Seven Seas I.-C Raven Kind of Cosmo (Cosmo),,POL,1,0,,5,43.32,5.72,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,8,521,Manuela Grubelnig,Düwelkes van de Barge Calypso (Kiwi),,AUT,1,0,,5,43.77,5.67,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,9,531,Ariane Wieber,Veni,,NOR,0,1,,5,45.92,5.4,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,10,561,Elena Jarošová,Galaxy od Skučáku (Galaxy),,SVK,0,1,,5,46.8,5.3,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,11,552,Zsolt Havasi,Bodza (Bodza),,HUN,2,0,,10,43.13,5.75,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,12,560,Natalia Svobodova,A3CH Bellina Bayo of KY's Spirit (Belli),,SVK,2,0,,10,47.91,5.18,False,Juraj Ruža (SK),62.0,94.0,248.0
Lord of the Winter III. 2025/2026,ind_agility_intermediate_3,Intermediate,Agility,False,,522,Lucie Krejčí,H’Ahsoka Tano Never Never Land (Ichiko),,CZE,0,0,,100,0.0,,True,Juraj Ruža (SK),62.0,94.0,248.0
