competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Midsummer Dog Sports Festival 2024,ind_agility_intermediate_1,Intermediate,Agility,False,1,106,Indrė Pašakinskaitė,Call me Pocahontas Gudri lapė,bordercollie,,0.0,1.0,-23.94,-23.94,26.06,6.14,False,Rene Blank,50.0,75.0,160.0
Midsummer Dog Sports Festival 2024,ind_agility_intermediate_1,Intermediate,Agility,False,1,231,Emmi Mustaniemi,MISTY HIGHLAND NONSTOP,bordercollie,,5.0,1.0,-23.46,5.0,38.54,5.66,False,Rene Blank,62.0,93.0,218.0
Midsummer Dog Sports Festival 2024,ind_agility_intermediate_1,Intermediate,Agility,False,1,391,Maija Anttolainen,OVERDO ELITE,bordercollie,FIN,5.0,1.0,-14.86,5.0,41.14,5.35,False,"Crespo, Jesús Fernández",56.0,84.0,220.0
Midsummer Dog Sports Festival 2024,ind_agility_intermediate_1,Intermediate,Agility,False,2,88,Marjo Korander,EMPIRE OF FIRE ALWAYS GO WITH FLOW,bordercollie,,0.0,1.0,-22.77,-22.77,27.23,5.88,False,Rene Blank,50.0,75.0,160.0
Midsummer Dog Sports Festival 2024,ind_agility_intermediate_1,Intermediate,Agility,False,2,224,Janina Taskinen,BORDERRUSH SHADOW OF YOUR LOVE ROXY,bordercollie,,5.0,1.0,-16.37,5.0,45.63,4.78,False,Rene Blank,62.0,93.0,218.0
Midsummer Dog Sports Festival 2024,ind_agility_intermediate_1,Intermediate,Agility,False,2,394,Tuulia Liuhto,PROMILLEN KIR ROYAL,bordercollie,,5.0,1.0,-11.8,5.0,44.2,4.98,False,"Crespo, Jesús Fernández",56.0,84.0,220.0
Midsummer Dog Sports Festival 2024,ind_agility_intermediate_1,Intermediate,Agility,False,3,112,Suvi Halonen,WHIPLANDIAN ABSOLUTELY AWFUL,whippet,,5.0,1.0,-16.05,5.0,33.95,4.71,False,Rene Blank,50.0,75.0,160.0
Midsummer Dog Sports Festival 2024,ind_agility_intermediate_1,Intermediate,Agility,False,3,236,Monika Kiho,Along With You Moravian Dream,bordercollie,,10.0,1.0,-17.23,10.0,44.77,4.87,False,Rene Blank,62.0,93.0,218.0
Midsummer Dog Sports Festival 2024,ind_agility_intermediate_1,Intermediate,Agility,False,3,420,Minna Kiviniemi-Riihinen,STOLICHNAYA,bordercollie,,10.0,1.0,-13.89,10.0,42.11,5.22,False,"Crespo, Jesús Fernández",56.0,84.0,220.0
Midsummer Dog Sports Festival 2024,ind_agility_intermediate_1,Intermediate,Agility,False,4,116,Stefi Praakli,FIRE ROCK POWERPAWS,bordercollie,,10.0,1.0,-1.58,10.0,48.42,3.3,False,Rene Blank,50.0,75.0,160.0
