competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,1,,Sabine Serwin,Graceful border be a legend Ikki,,DNK,0,1,0.0,5.0,39.95,4.58,False,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,2,079421,Klára Odlerová,Pringels,,,2,0,0.0,10.0,32.23,5.68,False,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,3,,Lene  Nehm,Graceful border be a legend Katara,,,1,1,0.0,10.0,35.08,5.22,False,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,4,,Miroslav Honěk,Adventure from Alkyra,,,0,2,0.0,10.0,45.72,4.0,False,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,5,,Monika Kiho,Along With You Moravian Dream,,,2,1,0.0,15.0,35.82,5.11,False,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,6,,Klemen Maganja,Velvet Queenie von Sun-Hof,,,4,1,0.0,25.0,35.6,5.14,False,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,7,003424,Dana Konôpková,Explosive Pistachio  from Astro Team,,,3,2,13.3,38.3,61.3,2.99,False,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,,202122,Ivana Ondrušová,Cix Acecard,,,,,,,,,True,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,,039918,Alena Šešulková,Enjoy Eccles Bashmar,,,,,,,,,True,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,,100723,Lenka Kabátová,Jasmin Jeans Asbrete,,,,,,,,,True,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,,083324,Iva Trejtnarová,Active girl Nala Fitmin,,,,,,,,,True,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,,,Anna Eifert,Holmans Minden,,HUN,,,,,,,True,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,,,Ivan  Lukášik,Candy Flow Casa Drive,,,,,,,,,True,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_1,Intermediate,Agility,False,,000424,Aneta Indráková,Bee Maya Euphoria Veselý ocas,,,,,,,,,True,"Ruža, Juraj (SK)",48.0,72.0,183.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,1,,Helmut  Paulik,Gchiquita Banana of Austrian Diamonds,,,0,0,0.0,0.0,39.68,5.52,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,2,,Tuulia Liuhto,Promillen Kir Royal,,,0,0,0.0,0.0,40.01,5.47,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,3,,Jan Fiala,Kirlie Mawlch,,HRV,0,0,0.0,0.0,40.24,5.44,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,4,,Karel Kurc,Cool Rallye Te Salutant,,CZE,0,0,0.0,0.0,40.69,5.38,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,5,,Emmelie Mortensen,Gjerulff Great Mississippi river,,,0,0,0.0,0.0,41.22,5.31,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,6,010023,Sára Simandlová,Btw I’m Dakota  Full of Rush,,CZE,1,0,0.0,5.0,37.38,5.86,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,7,,Riina Kellman,Johan On Kikkailija,,FIN,1,0,0.0,5.0,38.86,5.64,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,8,,Zsolt Havasi,Viharbanszületett (Néha) Barátságos Állat,,,1,0,0.0,5.0,38.92,5.63,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,9,,Lene Nehm,Graceful border act like miss Calety,,,0,1,0.0,5.0,42.11,5.2,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,10,,Diana Valachová,Hannah Aibara,,SVK,2,0,0.0,10.0,38.57,5.68,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,11,085821,Tereza Bustamante,Brilanta Zahájský mlýn,,,2,0,0.0,10.0,39.88,5.49,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,12,,Marco Gschaider,RuffnTuff Dancing in the Dark,,AUT,1,1,0.0,10.0,40.11,5.46,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,13,,Veronika Dostalova,Every Kingdom Super Welter,,,3,0,0.0,15.0,44.21,4.95,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,14,016421,Adéla Kubišová,A3Ch Akim,,,3,0,0.0,15.0,44.96,4.87,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,15,045719,Jitka Ďuricová,Aurelie of Inessy,,,3,1,0.0,20.0,45.51,4.81,False,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,031022,Michaela Šalamunová,Tiara,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Zsófi Tálasi,Dynamic Drive Dynamic,,HUN,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Roman Maruszczak,Crazy Barking Monster SOLAR STORM,,POL,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Svetlana  Kreslina,Flyland Nimbus Dance,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,192021,Ivana Ondrušová,Azu Acecard,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Gerda Zemaityte,Sabshai Alee,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Ola Kordas,Speedapp Travel Visa,,POL,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,087617,Barbora Novotná,Bon Bibi Devětsil,,CZE,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Kateryna Kovalenko,ARVI TORMUND,,UKR,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Valentyna  Riezanova,My Mad Dream Avada Kedavra,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Hanna Jäntti,Funway Tokyo Girl,,FIN,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,sabine Serwin,Graceful border act like a queen miss Casey,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,088019,Adéla Havlíčková,A3Ch Nilsa Petit Jerloust of My Queen,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,006521,Matěj Zapletal,Puma Firework Hill,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,033623,Zuzana Višvaderová,Arrow Stormy Anubis Canis,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Eva Filípková,Velox Crur Famosa Nella,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Zoltán  Bakos,Fire Inspired Entrancing Firebird,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,024821,Adela Hoňková,Aero Rodeo z Ranche na Hranici,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Stephan Assem,Mi Sombra Pitaya Petit,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Zuzanna Łata,Brave Misty Lady Hypnotizer,,POL,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,082419,Dana Mixová,A3Ch Valerie Shadow of Aire,,CZE,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,053321,Lenka Svaková,Desirelia from Valachian Highlands,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Zuzana Kubánková,Dagny Ballarat,,CZE,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_2,Intermediate,Agility,False,,,Nataliia  Denysenko,Astrid,,,,,,,,,True,"Szilágyi, Anita (HU)",55.0,87.0,219.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,1,,sabine Serwin,Graceful border act like a queen miss Casey,,,0,0,0.0,0.0,40.4,5.45,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,2,,Karel Kurc,Cool Rallye Te Salutant,,CZE,0,0,0.0,0.0,40.62,5.42,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,3,079421,Klára Odlerová,Pringels,,,0,0,0.0,0.0,44.46,4.95,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,4,,Eva Filípková,Velox Crur Famosa Nella,,,0,0,0.0,0.0,49.77,4.42,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,5,,Svetlana  Kreslina,Flyland Nimbus Dance,,,1,0,0.0,5.0,38.79,5.67,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,6,,Lee  Gibson,Euro Star,,,1,0,0.0,5.0,40.6,5.42,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,7,,Marco Gschaider,RuffnTuff Dancing in the Dark,,AUT,0,1,0.0,5.0,41.62,5.29,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,8,,Roman Maruszczak,Crazy Barking Monster SOLAR STORM,,POL,1,0,0.0,5.0,43.03,5.11,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,9,,Tuulia Liuhto,Promillen Kir Royal,,,1,0,0.0,5.0,43.12,5.1,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,10,,Christina  Paulik,Happy Sigrid Petit Jerloust of my Queen,,,1,0,0.0,5.0,43.39,5.07,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,11,,Zsolt Havasi,Viharbanszületett (Néha) Barátságos Állat,,,0,1,0.0,5.0,45.21,4.87,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,12,033623,Zuzana Višvaderová,Arrow Stormy Anubis Canis,,,2,0,0.0,10.0,40.46,5.44,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,13,031022,Michaela Šalamunová,Tiara,,,1,1,0.0,10.0,41.43,5.31,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,14,,Veronika Dostalova,Every Kingdom Super Welter,,,2,0,0.0,10.0,45.79,4.8,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,15,,Nataliia  Denysenko,Astrid,,,1,1,0.0,10.0,47.79,4.6,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,16,016421,Adéla Kubišová,A3Ch Akim,,,1,1,0.0,10.0,52.14,4.22,False,"Walz, Daniel (DE)",55.0,83.0,220.0
moravia-open-2025,ind_agility_intermediate_3,Intermediate,Agility,False,17,024821,Adela Hoňková,Aero Rodeo z Ranche na Hranici,,,2,0,2.68,12.68,57.68,3.81,False,"Walz, Daniel (DE)",55.0,83.0,220.0
