competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,1,,Channie Elmestedt,Border star hall of fame,Border Collie,DNK,,,,0.0,39.43,5.07,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,2,,Sandra Sjöberg,Downforce Hennie,Border collie,SWE,,,,0.0,40.78,4.9,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,3,,Sabine Serwin,Graceful Border act like a queen miss Cas,eByorder Collie,DNK,,,,0.0,42.31,4.73,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,4,,Anne Linn Johannessen Moen,Nesbakkens Yukon,Border Collie,NOR,,,,0.0,42.68,4.69,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,5,,Malena Johansson,Downforce Tona,Border collie,SWE,,,,5.0,38.47,5.2,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,6,,Ammy Steen,Downforce Sota,Border collie,SWE,,,,5.0,39.39,5.08,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,7,,Trine Thorkildsen,Nesbakkens Minimorris,Border Collie,NOR,,,,5.0,42.02,4.76,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,8,,Gigi Danica,Apollo,Nova Scotia Duck Tollin g ReDtrEiNever,DNK,,,,5.0,43.87,4.56,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,9,,Ingeborg Eugenie Blakkisrud,Alickra's Insane Iza,Border Collie,NOR,,,,5.0,44.16,4.53,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,10,,Viktoria Moen-Bardølsgård,Australian Mates Juicy IPA,Australian Kelpie,NOR,,,,5.0,44.41,4.5,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,11,,Sanna Harjunpää,Starscream,Bordercollie,FIN,,,,5.0,44.7,4.47,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,12,,Katariina Kuiro,Melissa Andre Blooms,Bordercollie,FIN,,,,5.0,45.27,4.42,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,13,,Joni Laakso,RÄJÄHDYSVAARAN POMMINVARMA,Australian Shepherd,FIN,,,,10.0,38.15,5.24,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,14,,Cecilia Klingberg,Lizzroys Duchesse Dee,Border collie,SWE,,,,10.0,38.79,5.16,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,15,,Rikke Pedersen,Napoleon vom Westricher Nocken,Pyrenæisk hyrdehund,DNK,,,,10.0,44.12,4.53,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,16,,Annie Tellnes,Olympia Flye av Tellami Shepherd,Miniature American She pheNrOdR,NOR,,,,14.75,50.75,3.94,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,17,,Lise-Irene Hansen,Babe,Border Collie,NOR,,,,15.0,41.88,4.78,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_intermediate_1,Intermediate,Agility,False,18,,Carina de Silva,Aikandi that’s me on the Fast Track,Border Collie,DNK,,,,15.0,42.27,4.73,False,Jan Egil Eide,46.0,,200.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,1,,Jennifer Persson,Tom,Border collie,SWE,,,,0.0,39.13,5.55,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,2,,Kia Koskinen,Maple Yard Zed,Bordercollie,FIN,,,,0.0,39.22,5.53,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,3,,Laura Sutinen,Khaos of Quick Angel,Bordercollie,FIN,,,,0.0,41.23,5.26,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,4,,Mariia Evstigneeva,Svagni Leela,Smooth Collie,FIN,,,,0.0,41.86,5.18,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,5,,Anne Karlsson,TheLook No-Limit Berit,Border collie,SWE,,,,5.0,39.17,5.54,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,6,,Maj Davidsen,Border Star Power of Zui,Border Collie,DNK,,,,5.0,39.42,5.5,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,7,,Janina Kantola,Hakukaaren Avatar,Bordercollie,FIN,,,,5.0,40.07,5.42,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,8,,Fanny Gott,For The Win Fleet,Border collie,SWE,,,,5.0,42.93,5.05,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,9,,Sari Vähäniitty,Promillen isokaato,Bordercollie,FIN,,,,6.31,46.31,4.69,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,10,,Ida Åkesson,Greis Working Cocos,Border collie,SWE,,,,10.0,37.75,5.75,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,11,,Raisa Vähätalo,Gjerulff wonderful Willow got the jackpo,tBorder collie,FIN,,,,10.0,40.35,5.38,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,12,,Peter Johansson,Taxus,Border collie,SWE,,,,10.0,40.44,5.37,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,13,,Mikko Aaltonen,Promillen Jamaica Shake,Bordercollie,FIN,,,,10.0,40.52,5.36,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,14,,Gustaf Elgh,Toberoi Pumpkin,Border collie,SWE,,,,10.0,42.79,5.07,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,15,,Monica Iversen,LL´Giller,Border Collie,NOR,,,,15.0,44.92,4.83,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_large_1,Large,Agility,False,16,,Michelle Gottschalk,Awesome Zoom With Brain Inside,Border Collie,DNK,,,,24.43,49.43,4.39,False,Jan Egil Eide,45.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,1,,Sandra Møller Christensen,Köves-bérci Betyár Jonathán,Mudi,DNK,,,,0.0,40.66,5.34,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,2,,Marion Svendsen,SheltieFun's Powerful Ille,Shetland Sheepdog,NOR,,,,0.0,41.34,5.25,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,3,,Sanna Helenius,Jumparound Everybody Dance Now,Medium size poodle,FIN,,,,0.0,41.95,5.17,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,4,,Signe K.Gundersen,Wienas Shepherds Indian Cherokee,Miniature American She pheNrOdR,NOR,,,,0.0,42.07,5.16,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,5,,Emmiina Abrahamsson,Kuunhohteen Poutapilvi,Shetlandsheepdog,FIN,,,,0.0,42.46,5.11,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,6,,Jarkko Hietasara,Tuohinon Joss Jovani,Medium poodle,FIN,,,,0.0,43.18,5.03,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,7,,Linnéa Persson,It‘s Like Dion Flying Crazy High,Berger des pyrénées à p oil SloWngE,SWE,,,,0.0,43.94,4.94,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,8,,Einari Pekkala,Casse-noisettes L'amour Naissant,Long-haired Pyrenean S heepFIdNog,FIN,,,,0.0,44.75,4.85,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,9,,Anne Karlsson,Move Your Paws Maltese Tiger,Mudi,SWE,,,,5.0,41.16,5.27,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,10,,Maria Ljungdahl,Sandvretens Bojan,Cocker spaniel,SWE,,,,5.0,42.03,5.16,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,11,,Maria Ömalm,Alily's Amazing Ada,Cocker spaniel,SWE,,,,5.0,42.74,5.08,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,12,,Anne Karlsson,Minas-Tirith,Mudi,SWE,,,,5.0,43.5,4.99,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,13,,Gunn Toril Kværnstuen,Sobia av Tellami Shepherd,Miniature American She pheNrOdR,NOR,,,,7.38,49.38,4.39,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,14,,Pia Prytz,Noorh Of North,Shetland Sheepdog,NOR,,,,7.62,49.62,4.37,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,15,,Ida Edvardsson,Dorun’s Kung Melwin,Cocker spaniel,SWE,,,,10.0,41.23,5.26,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,16,,Jesper Vind Jensen,Bulletproof Pyrception,Pyrenærisk Hyrdehund,DNK,,,,10.0,41.51,5.23,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,17,,Teemu Kollanen,Raasillan Chestnut,Kromfohrländer,FIN,,,,10.0,41.87,5.18,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,18,,Pekka Halonen,CARAYDAN XELITA,Spanish Water Dog,FIN,,,,10.0,43.79,4.96,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,19,,Carole Ross,Get Weiler's Dixie,Border Collie,NOR,,,,10.0,45.11,4.81,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,20,,Henrik Bjældager,Ascendant Gusty Winds of the World Exp,lFoTs iCveo cSkteorr mSpaniel,DNK,,,,10.0,46.59,4.66,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,21,,Emilia Lindström,MUSICNUMBERTHREE,Bordercollie,FIN,,,,15.0,39.07,5.55,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_medium_1,Medium,Agility,False,22,,Fiona Wennberg,Gjerulff Magical Work,Shetland Sheepdog,DNK,,,,15.77,52.77,4.11,False,Jan Egil Eide,47.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,1,,Kjersti Jørgensen,Personlighetens Flying Agi,Shetland Sheepdog,NOR,,,,0.0,39.47,5.5,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,2,,Assi Rapeli,Käpylaakson Meren Tähti,shetland sheepdog,FIN,,,,0.0,42.77,5.07,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,3,,Mathilde Grandberg,Equilibrate All About Joy,Parson Russell Terrier,DNK,,,,0.0,43.17,5.03,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,4,,Matilda Mäkinen,Meu Amor’s Symphony,parson russel terrier,FIN,,,,0.0,43.38,5.0,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,5,,Linda Lidgren,Hunterfull New Journey,Cocker spaniel,SWE,,,,0.0,43.57,4.98,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,6,,Tonje Sollied Johansen,Urge to Run of Summergarden,Shetland Sheepdog,NOR,,,,0.0,45.29,4.79,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,7,,Linn Nordqvist,Kattgubbens Nerja,Poodle,SWE,,,,0.0,45.45,4.77,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,8,,Vicky Jacobsen,Make it count dance the night away,Miniature amerikansk S hepDhEeNrd,DNK,,,,0.0,45.56,4.76,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,9,,Camilla Sandbakk,Jennyrose's Life Is Agilityshow,Dverg Puddel,NOR,,,,0.16,46.16,4.7,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,10,,Signy-Elise Løvdal,Shatenas Unique Alva of Paris,Shetland Sheepdog,NOR,,,,1.05,47.05,4.61,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,11,,Claus Andersen,Elverlamshuset's Dea,Shetland Sheepdog,DNK,,,,2.47,48.47,4.48,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,12,,Jessica Kock,Allis,Poodle,FIN,,,,5.0,40.63,5.34,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,13,,Enya Habel,Brainpool's Mindful Missil,Shetland Sheepdog,SWE,,,,5.0,41.05,5.29,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,14,,Elin Bergendahl Grønås,Mieelas Poter's Clay Blue,Shetland Sheepdog,NOR,,,,5.0,42.11,5.15,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,15,,Gabriella Hennings,Engine Iggy Koopa,Poodle,SWE,,,,5.0,42.62,5.09,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,16,,Amanda Bäckebo,Kråkboets Aktiva-Ally,Miniature American She pheSWrdE,SWE,,,,5.0,43.06,5.04,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,17,,Sanni Kariniemi,Lumiere,shetland sheepdog,FIN,,,,5.0,44.24,4.91,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,18,,Nina Rajala,Devongem Fire Storm,COCKERSPANIEL,FIN,,,,10.0,43.07,5.04,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,19,,Line Hvass Nielsen,Mittlines Cry For A Shadow,Mittelspitz,DNK,,,,10.0,43.91,4.94,False,Jan Egil Eide,46.0,,217.0
Nordic Agility Championship 2025,ind_agility_small_1,Small,Agility,False,20,,Michelle Johnsson,Beautiful Borders Magical Minis Ares,Miniaturer American sh ephDeErdN,DNK,,,,10.0,44.52,4.87,False,Jan Egil Eide,46.0,,217.0
