competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
"Polish Open 2024 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,1,395,"Obrusníkova, Aneta",Ollie,Mudi,CZE,0,0,0.00,0.00,40.78,5.39,False,Isabella Stefl,,,220.0
"Polish Open 2024 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,2,334,"Pent, Toomas",Mürru,Mudi,EST,0,0,0.00,0.00,41.71,5.27,False,Isabella Stefl,,,220.0
"Polish Open 2024 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,3,368,"Blažinauskaitė, Dovilė",Minsoo,Sheltie,LTU,0,0,0.00,0.00,42.58,5.17,False,Isabella Stefl,,,220.0
"Polish Open 2024 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,4,330,"Denysenko, Daria",Van Helsing,Mix,UKR,0,0,0.00,0.00,43.47,5.06,False,Isabella Stefl,,,220.0
"Polish Open 2024 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,5,370,"Obrusníkova, Aneta",Arrya,Mudi,CZE,0,0,0.00,0.00,43.52,5.06,False,Isabella Stefl,,,220.0
"Polish Open 2024 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,6,379,"Hering, Stephanie",Lük,Sheltie,DEU,0,0,0.00,0.00,43.61,5.04,False,Isabella Stefl,,,220.0
"Polish Open 2024 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,7,373,"Riezanova, Valentyna",Snitch,Sheltie,UKR,0,0,0.00,0.00,43.94,5.01,False,Isabella Stefl,,,220.0
"Polish Open 2024 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,8,374,"Denysenko, Nataliia",Ethan,Sheltie,UKR,0,0,0.00,0.00,44.67,4.93,False,Isabella Stefl,,,220.0
"Polish Open 2024 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,9,347,"Happonen, Natali",Essie,PRT,EST,0,0,0.00,0.00,44.93,4.9,False,Isabella Stefl,,,220.0
"Polish Open 2024 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,10,344,"Flatau, Iwona",Choya,Poodle,POL,0,0,0.00,0.00,46.74,4.71,False,Isabella Stefl,,,220.0
"Polish Open 2024 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,11,387,"Steinmetz, Carina",Amy,Sheltie,DEU,0,0,0.00,0.00,46.86,4.69,False,Isabella Stefl,,,220.0
