competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,1,367,"Piirsalu, Triine",Nomy,Cocker,EST,0,0,0.00,0.00,36.00,5.86,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,2,368,"Põder, Mia",Felö,Mudi,EST,0,0,0.00,0.00,37.12,5.68,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,3,359,"Řeholová, Adéla",Cínka,Sheltie,CZE,0,0,0.00,0.00,38.33,5.5,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,4,319,"Blažinauskaitė, Dovilė",Minsoo,Sheltie,LTU,0,0,0.00,0.00,38.41,5.49,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,5,331,"Orbanová, Lucie",Danny,Pyrshep,CZE,0,0,0.00,0.00,38.95,5.42,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,6,316,"Denysenko, Nataliia",Ethan,Sheltie,UKR,0,0,0.00,0.00,39.65,5.32,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,7,387,"Członkowska, Barbara",Molka,Pyrshep,POL,0,0,0.00,0.00,39.85,5.29,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,8,369,"Krupková, Veronika",Gineska,Pumi,CZE,0,0,0.00,0.00,41.10,5.13,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,9,352,"Campulova, Petra",Shelby,MIX,CZE,0,0,0.00,0.00,41.26,5.11,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,10,341,"Burak, Jarosław",Perła,Mudi,POL,0,0,0.00,0.00,41.61,5.07,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,11,378,"Redo, Izabela",Chilli,Sheltie,POL,0,0,1.55,1.55,43.55,4.85,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,12,348,"Baj, Alicja",Figa,MIX,POL,0,0,1.83,1.83,43.83,4.81,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,13,313,"Ududenko, Marianna",Keysi,Beagle,UKR,0,0,2.36,2.36,44.36,4.76,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,14,355,"Růžičková, Kristýna",Tess,Poodle,CZE,0,0,3.47,3.47,45.47,4.64,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,15,401,"Piirsalu, Triine",Mürru,Mudi,EST,1,0,0.00,5.00,36.55,5.77,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,16,376,"Hruza, Kristyna",Ti,Mudi,CZE,1,0,0.00,5.00,36.90,5.72,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,17,342,"Gadomska, Magda",Kudel,Poodle,POL,1,0,0.00,5.00,37.41,5.64,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,18,315,"Denysenko, Daria",Helsing,MIX,UKR,1,0,0.00,5.00,38.59,5.47,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,19,318,"Happonen, Natali",Essie,PRT,EST,1,0,0.00,5.00,39.09,5.4,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,20,329,"Kwiecień, Olga",Maupka,Pyrshep,POL,1,0,0.00,5.00,40.44,5.22,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,21,358,"Schreuder Peters, Nicole",Jaylah,Cocker,NLD,1,0,0.00,5.00,40.70,5.18,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,22,314,"Shestak, Dasha",Fully,MAS,UKR,0,1,0.00,5.00,41.05,5.14,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,23,322,"Santorek, Natalia",Berunio,Poodle,POL,1,0,0.56,5.56,42.56,4.96,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,24,357,"Nielsen, Kathrin",Jil,Cocker,DEU,0,1,2.19,7.19,44.19,4.77,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,25,349,"Rogińska, Karolina",Nemo,MIX,POL,0,0,9.66,9.66,51.66,4.08,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,26,382,"Santorek, Natalia",Granda,Spaniel Mix With Roomba,POL,0,1,4.91,9.91,46.91,4.5,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,27,346,"Dušková, Julie",Bazooka,Mudi,CZE,2,0,0.00,10.00,36.46,5.79,False,Juraj Ruza,,,211.0
"Polish Open SOFT 2025 (XS, S & M)",ind_agility_medium_1,Medium,Agility,False,28,320,"Kreslina, Svetlana",Panther,Sheltie,LVA,2,0,0.00,10.00,38.45,5.49,False,Juraj Ruza,,,211.0
