competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
ProsecCup 2025,ind_agility_intermediate_1,Intermediate,Agility,False,,165,GABRIELE MOTTOLA,DIFFIDATE DELLE IMITAZIONI (cp),Border collie,ITA,,,,,,,True,VALK MARK,54.69,82.03,175
ProsecCup 2025,ind_agility_intermediate_1,Intermediate,Agility,False,,263,luca mangano,ORFEO DI PETRADEMONE (cp),Border collie,ITA,,,,,,,True,VALK MARK,54.69,82.03,175
ProsecCup 2025,ind_agility_intermediate_1,Intermediate,Agility,False,,256,Nikiforos Orfanakos,BLACKSHEEP'S LULLABY JALAPENO (cp),Border collie,ITA,,,,,,,True,VALK MARK,54.69,82.03,175
ProsecCup 2025,ind_agility_intermediate_1,Intermediate,Agility,False,,255,Pietro Elia Selmin,JUICE IN THE STAR (cp),Border collie,ITA,,,,,,,True,VALK MARK,54.69,82.03,175
ProsecCup 2025,ind_agility_intermediate_1,Intermediate,Agility,False,,399,Serena Sarti,MIND THE DOG MASCOTTE (cp),Border collie,ITA,,,,,,,True,VALK MARK,54.69,82.03,175
ProsecCup 2025,ind_agility_intermediate_10,Intermediate,Agility,False,1,54,Nikiforos Orfanakos,BLACKSHEEP'S LULLABY JALAPENO (cp),Border collie,ITA,0,0,,0,26.17,,False,PAPAVERO VITTORIO,53.44,80.16,171
ProsecCup 2025,ind_agility_intermediate_10,Intermediate,Agility,False,2,163,GABRIELE MOTTOLA,DIFFIDATE DELLE IMITAZIONI (cp),Border collie,ITA,0,0,,0,29.05,,False,PAPAVERO VITTORIO,53.44,80.16,171
ProsecCup 2025,ind_agility_intermediate_10,Intermediate,Agility,False,3,7,Zala Pahor,Carica Lili,Cane da pastore croato,HRV,0,0,,0,37.24,,False,PAPAVERO VITTORIO,53.44,80.16,171
ProsecCup 2025,ind_agility_intermediate_10,Intermediate,Agility,False,,124,Pietro Elia Selmin,JUICE IN THE STAR (cp),Border collie,ITA,,,,,,,True,PAPAVERO VITTORIO,53.44,80.16,171
ProsecCup 2025,ind_agility_intermediate_10,Intermediate,Agility,False,,97,luca mangano,ORFEO DI PETRADEMONE (cp),Border collie,ITA,,,,,,,True,PAPAVERO VITTORIO,53.44,80.16,171
ProsecCup 2025,ind_agility_intermediate_10,Intermediate,Agility,False,,229,Serena Sarti,MIND THE DOG MASCOTTE (cp),Border collie,ITA,,,,,,,True,PAPAVERO VITTORIO,53.44,80.16,171
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,1,114,MONICA TASSO,QUESTA E' LA MIA VITA (LIFE) (cp),Border collie,ITA,0,1,,5,40.15,,False,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,2,307,virna rosato,APPLE PIE DEI MATIBLU (cp),Border collie,ITA,0,1,,5,42.24,,False,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,3,65,Elena Godio,Fanny,Meticcio,ITA,2,1,,15,45.42,,False,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,4,274,Elisa Bertazza,CARRY ON (cp),Border collie,ITA,1,2,,15,46.35,,False,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,5,218,Nicola Tiozzo Pagio,FEAR OF THE DARK (cp),Border collie,ITA,3,1,,20.69,47.69,,False,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,,384,Carla van Adrichem,Hazel vom Thurnhof,Border collie,DEU,,,,,,,True,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,,324,Valentina Cicogna,MAWLCH SIS (cp),Border collie,HRV,,,,,,,True,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,,304,Leonardo Mazzantini,RMF ISTA WAMBLY (cp),Australian shepherd,ITA,,,,,,,True,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,,295,Alessandra Cogo,MELLOW (cp),Border collie,ITA,,,,,,,True,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,,185,Federica Venturini,VIDA LOCA OF WILDRIVER (cp),Border collie,ITA,,,,,,,True,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,,135,Eleonora  Baldan,FAIRY DYNASTY KNOCK OUT (cp),Border collie,ITA,,,,,,,True,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,,86,ferruccio costantini,EMY (cp),Border collie,ITA,,,,,,,True,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_11,Intermediate,Agility,False,,79,virginia cutini,NALA (cp),Border collie,ITA,,,,,,,True,EIDE JAN EGIL,47,70.5,199
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,1,158,Valentina  Mugellini,CINQUE DEI MATIBLU (cp),Border collie,ITA,0,0,,0,37.23,,False,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,2,153,Davide De Lucia,THE STRONG LISBONA (cp),Border collie,ITA,0,0,,0,38.11,,False,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,3,241,Iwona Golab,Sayonara,Border collie,POL,0,0,,0,38.17,,False,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,4,151,enrico collini,KIM POSSIBLE TO SHARK ZANZIBAR (cp),Border collie,ITA,0,0,,0,38.59,,False,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,5,283,Antonella Giurastante,NICE AND SWEET NIKE IN THE STAR (cp),Border collie,ITA,0,0,,0,40.52,,False,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,6,194,Vittorio Felci,CHERYL COLE (cp),Border collie,ITA,1,0,,5,37.94,,False,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,7,342,jose manuel Davila Rosales,TURI KITANE TO FALL IN LOVE (cp),Border collie,ITA,1,0,,5,40.03,,False,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,8,105,Gianluca Schingaro,SUPERGIRL DEI MATIBLU (cp),Border collie,ITA,0,1,,5,40.03,,False,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,9,363,Giuseppe Culora,SHEPWORLD LIGHT MY FIRE (cp),Border collie,ITA,2,0,,10,36.64,,False,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,10,82,Sara Gregorio,NIKE (cp),Border collie,ITA,2,1,,15,38.01,,False,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,11,11,Nadja Milz,Puma,Border collie,AUS,2,1,,17.39,45.39,,False,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,264,Luisa Talarico,ALTER EGO (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,390,gianluca ticchi,Lucy,Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,380,BARBARA ROSSO,DUFFY (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,361,Ivana Sipalova,BLACK RIVER KENNEL ZODIAC (cp),Cane da pastore australiano kelpie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,332,Simone Cotena,HIPPY SAMI (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,317,Rebecca Potosky,Fate,Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,1,donata ghiringhelli,Khaleesi of the dragons,Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,120,Carla van Adrichem,Tess vom Thurnhof,Border collie,DEU,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,148,Federica Grilli,Nangamai Jelly Bean (cp),Border collie,HRV,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,122,Maria Giulia Pantalloni,FEMME FATALE (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,106,Francesco  Zaccarini,COCO AVANT CHANEL (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,103,Leonardo Casoni,BABY K (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,92,Lorenzo Simi,SHE'S A RED DEVIL (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,85,Daria Costa,THE MAGIC COMPASS (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,53,Carla van Adrichem,Kyla vom Thurnhof,Border collie,AUT,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,16,Christine Chalancon,Booga'Loo,Mudi,CHE,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,12,Farida Camillo,BARANYAI UGYES KOMA (cp),Mudi,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,160,Francesca Paccagnella,LOVE ME LIKE THERE'S NO TOMORROW IN THE STAR (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,297,Sara Terreni,BLACKSHEEP'S LULLABY ENDLESS SUMMER (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,282,Manuela Piccin,KITTY PRIDE (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,212,moreno cavallin,SHEPWORLD LOVE OF MY LIFE (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,205,Patrizia Ciuffetti,MOBSCENE MY SAY 10 (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,195,Andrea Menghini,Sioux,Border collie,FRA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,176,Tiziana Daniela Verde,VALENCIA DELLA LINEA DEI PENSIERI (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,173,Matteo Savini,ON MY HEART IN THE STAR (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,9,Lorena Sabbadini,CROSS (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,152,Denis Giovannelli,LATINBORDER REVERT (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,34,EMMANUEL MELAIN,MAWLCH JOY,Border collie,HRV,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,197,patrizia bollati,GINGERBELL VITA SPERICOLATA (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,230,Dimitra Drakou,NOELLE DI CASA HESSELINK (cp),Cane da pastore australiano kelpie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,289,Fabrizio Cantatore,EMMA OF CRAZY SISSY'S HOME (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_12,Intermediate,Agility,False,,322,Monika Rylska,Koza (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,43,64.5,219
ProsecCup 2025,ind_agility_intermediate_2,Intermediate,Agility,False,1,394,Leonardo Mazzantini,RMF ISTA WAMBLY (cp),Australian shepherd,ITA,0,0,,0,32.22,,False,WALZ DANIEL,38,57,162
ProsecCup 2025,ind_agility_intermediate_2,Intermediate,Agility,False,2,230,ferruccio costantini,EMY (cp),Border collie,ITA,2,0,,13.94,41.94,,False,WALZ DANIEL,38,57,162
ProsecCup 2025,ind_agility_intermediate_2,Intermediate,Agility,False,3,379,Carla van Adrichem,Hazel vom Thurnhof,Border collie,DEU,2,2,,23.57,41.57,,False,WALZ DANIEL,38,57,162
ProsecCup 2025,ind_agility_intermediate_2,Intermediate,Agility,False,,359,Elena Godio,Fanny,Meticcio,ITA,,,,,,,True,WALZ DANIEL,38,57,162
ProsecCup 2025,ind_agility_intermediate_2,Intermediate,Agility,False,,330,MONICA TASSO,QUESTA E' LA MIA VITA (LIFE) (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,38,57,162
ProsecCup 2025,ind_agility_intermediate_2,Intermediate,Agility,False,,311,Alessandra Cogo,MELLOW (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,38,57,162
ProsecCup 2025,ind_agility_intermediate_2,Intermediate,Agility,False,,284,virna rosato,APPLE PIE DEI MATIBLU (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,38,57,162
ProsecCup 2025,ind_agility_intermediate_2,Intermediate,Agility,False,,247,Nicola Tiozzo Pagio,FEAR OF THE DARK (cp),Border collie,ITA,,,,,,,True,WALZ DANIEL,38,57,162
