competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,1,334,"Golab, Iwona",SeeYa,Border Collie,POL,0,0,0.00,0.00,37.14,5.92,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,2,309,"Rylska, Monika",Koza,Border Collie,POL,0,0,0.00,0.00,37.66,5.84,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,3,308,"Naud, Arthur",Pim's,Border Collie,FRA,0,0,0.00,0.00,37.76,5.83,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,4,321,"Zemaityte, Gerda",Lee,Border Collie,LTU,1,0,0.00,5.00,37.92,5.8,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,5,346,"Petrovič Vernikov, Primož",Mint,Border Collie,SVN,1,0,0.00,5.00,39.22,5.61,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,6,323,"Ceglar, Maša",Maggie,Border Collie,SVN,1,0,0.00,5.00,42.24,5.21,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,7,327,"Grilli, Federica",Gina,Border Collie,ITA,1,0,3.41,8.41,46.41,4.74,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,8,343,"Piccin, Manuela",Marvel,Border Collie,ITA,2,0,0.20,10.20,43.20,5.09,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,9,357,"Tieber, Claudia",Yara,Australian Shepherd,AUT,2,0,0.76,10.76,43.76,5.03,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,10,315,"Sack, Lenka",Theika,Mudi,CZE,1,1,0.86,10.86,43.86,5.02,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,11,336,"Racape, Virginie",Sky,Border Collie,FRA,1,1,1.95,11.95,44.95,4.89,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,12,344,"Denysenko, Nataliia",Astrid,Border Collie,UKR,1,1,3.23,13.23,46.23,4.76,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,13,322,"Kurc, Karel",Rallye,Kelpie,CZE,2,0,12.46,22.46,55.46,3.97,False,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,301,"Mugellini, Valentina",Gwendalina,Border Collie,ITA,,,,,,,True,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,303,"Tieber, Claudia",Ashly,Australian Shepherd,AUT,,,,,,,True,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,335,"Kohl, Nadine",Quinn,Border Collie,AUT,,,,,,,True,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,339,"De Lucia, Davide",Athena,Border Collie,ITA,,,,,,,True,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,345,"Kłobukowska, Ola",Yuca,Border Collie,POL,,,,,,,True,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,319,"Kabátová, Lenka",Jasmin,Border Collie,CZE,,,,,,,True,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,329,"Jus, Gregor",Mini,Border Collie,SVN,,,,,,,True,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,328,"Cuadros, Carol",Jace,Mudi,ESP,,,,,,,True,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,354,"Pardiac, Roxane",Gee-Whiz!,Border Collie,CAN,,,,,,,True,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,314,"Uršič, Beti",Spicy,Border Collie,SVN,,,,,,,True,Daniel Walz,,,220.0
Slovenian Agility Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,341,"Pollmann, Thomas",Yes,Border Collie,AUT,,,,,,,True,Daniel Walz,,,220.0
